trail_id,trail_name,park_name,location,difficulty,distance_km,estimated_time_hours,elevation_gain_m,rating,scenery_types,facilities,trail_type,description,alltrails_url
BC_012,Pacific Spirit Park,Pacific Spirit Park,"Vancouver, BC",Easy,5.2,1.8,80,4.2,"Forest, Creek","Parking",Loop,"An extensive trail network through Pacific Spirit Park with diverse forest ecosystems and creek crossings.",https://www.alltrails.com/trail/canada/british-columbia/pacific-spirit-park
BC_013,Capilano River Trail,Capilano River Regional Park,"North Vancouver, BC",Easy,3.6,1.2,40,4.4,"River, Forest","Restrooms, Parking",Out & Back,"A flat riverside trail along the Capilano River with opportunities for salmon viewing and forest bathing.",https://www.alltrails.com/trail/canada/british-columbia/capilano-river-trail
BC_014,Cleveland Dam,Capilano River Regional Park,"North Vancouver, BC",Easy,2.4,0.8,25,4.1,"Lake, Dam, Mountains","Restrooms, Parking",Out & Back,"A short walk to Cleveland Dam with views of Capilano Lake and the surrounding mountains.",https://www.alltrails.com/trail/canada/british-columbia/cleveland-dam
BC_015,Capilano Suspension Bridge Park,Capilano Suspension Bridge Park,"North Vancouver, BC",Easy,2.0,1.0,50,4.5,"Bridge, Forest, River","Restrooms, Parking, Cafe",Loop,"A tourist attraction featuring the famous suspension bridge, treetop walks, and cliff walks through temperate rainforest.",https://www.alltrails.com/trail/canada/british-columbia/capilano-suspension-bridge-park
BC_016,Lynn Canyon Park,Lynn Canyon Park,"North Vancouver, BC",Easy,2.8,1.2,80,4.3,"Canyon, Creek, Bridge","Restrooms, Parking",Loop,"A network of trails through Lynn Canyon featuring a free suspension bridge, waterfalls, and canyon views.",https://www.alltrails.com/trail/canada/british-columbia/lynn-canyon-park
BC_017,Twin Falls Trail,Lynn Canyon Park,"North Vancouver, BC",Moderate,3.4,1.5,120,4.4,"Waterfalls, Forest","Restrooms, Parking",Out & Back,"A moderate hike to Twin Falls through old-growth forest with creek crossings and beautiful waterfall views.",https://www.alltrails.com/trail/canada/british-columbia/twin-falls-trail
BC_018,Baden Powell Trail - Lynn Canyon,Lynn Canyon Park,"North Vancouver, BC",Moderate,5.2,2.0,180,4.2,"Forest, Creek","Parking",Point-to-Point,"A section of the Baden Powell Trail through Lynn Canyon with forest views and creek crossings.",https://www.alltrails.com/trail/canada/british-columbia/baden-powell-trail-lynn-canyon
BC_019,Mosquito Creek Trail,Mosquito Creek Park,"North Vancouver, BC",Easy,2.6,1.0,50,4.0,"Creek, Forest","Parking",Out & Back,"A gentle trail following Mosquito Creek through forest with opportunities for nature observation.",https://www.alltrails.com/trail/canada/british-columbia/mosquito-creek-trail
BC_020,Mahon Park,Mahon Park,"North Vancouver, BC",Easy,1.8,0.6,20,3.9,"Park, Creek","Restrooms, Parking",Loop,"A short loop through Mahon Park with creek views and playground facilities.",https://www.alltrails.com/trail/canada/british-columbia/mahon-park
BC_021,Grouse Grind,Grouse Mountain,"North Vancouver, BC",Hard,2.9,1.5,850,4.1,"Mountain views, Forest","Restrooms, Parking",Out & Back,"Vancouver's most famous and challenging urban hike, known as 'Nature's Stairmaster' with steep elevation gain.",https://www.alltrails.com/trail/canada/british-columbia/grouse-grind
BC_022,Grouse Mountain Via BCMC Trail,Grouse Mountain,"North Vancouver, BC",Hard,5.4,3.0,1200,4.3,"Mountain views, Forest","Parking",Out & Back,"A challenging alternative route to Grouse Mountain with sustained steep climbing and rewarding summit views.",https://www.alltrails.com/trail/canada/british-columbia/grouse-mountain-via-bcmc-trail
BC_023,Grouse Mountain Skyride,Grouse Mountain,"North Vancouver, BC",Easy,1.5,0.5,30,4.4,"Mountain views, Alpine","Restrooms, Parking, Cafe",Loop,"Accessible mountain top trails reached by skyride, featuring alpine walks and spectacular city views.",https://www.alltrails.com/trail/canada/british-columbia/grouse-mountain-skyride
BC_024,Crown Mountain,Grouse Mountain,"North Vancouver, BC",Hard,8.2,5.0,1400,4.5,"Mountain views, Alpine","Parking",Out & Back,"A challenging extension from Grouse Mountain to Crown Mountain with exposed alpine terrain and panoramic views.",https://www.alltrails.com/trail/canada/british-columbia/crown-mountain
BC_025,Goat Mountain,Grouse Mountain,"North Vancouver, BC",Hard,6.8,4.0,1200,4.4,"Mountain views, Alpine","Parking",Out & Back,"A strenuous hike to Goat Mountain with alpine meadows and stunning views of the North Shore mountains.",https://www.alltrails.com/trail/canada/british-columbia/goat-mountain
BC_026,Dam Mountain,Grouse Mountain,"North Vancouver, BC",Hard,7.5,4.5,1350,4.3,"Mountain views, Alpine","Parking",Out & Back,"A challenging hike to Dam Mountain with alpine terrain and panoramic views of the surrounding peaks.",https://www.alltrails.com/trail/canada/british-columbia/dam-mountain
BC_027,Quarry Rock,Deep Cove,"North Vancouver, BC",Easy,3.8,1.2,100,4.6,"Ocean views, Forest","Restrooms, Parking",Out & Back,"A popular short hike to a scenic viewpoint overlooking Deep Cove and Indian Arm with Instagram-worthy views.",https://www.alltrails.com/trail/canada/british-columbia/quarry-rock
BC_028,Deep Cove to Jug Island,Deep Cove,"North Vancouver, BC",Easy,4.2,1.5,50,4.2,"Ocean views, Island","Restrooms, Parking",Out & Back,"A waterfront walk to a small island accessible at low tide with views of Deep Cove and surrounding mountains.",https://www.alltrails.com/trail/canada/british-columbia/deep-cove-to-jug-island
BC_029,Baden Powell Trail - Deep Cove,Deep Cove,"North Vancouver, BC",Moderate,6.8,2.5,200,4.1,"Forest, Creek","Parking",Point-to-Point,"A section of the Baden Powell Trail from Deep Cove through forest with creek crossings and mountain views.",https://www.alltrails.com/trail/canada/british-columbia/baden-powell-trail-deep-cove
BC_030,Seymour River,Seymour River,"North Vancouver, BC",Easy,4.5,1.5,30,4.2,"River, Forest","Restrooms, Parking",Out & Back,"A flat riverside trail along the Seymour River with opportunities for salmon viewing and peaceful forest walks.",https://www.alltrails.com/trail/canada/british-columbia/seymour-river
BC_031,Rice Lake Loop,Seymour River,"North Vancouver, BC",Easy,2.4,0.8,20,4.3,"Lake, Forest","Restrooms, Parking",Loop,"An accessible loop trail around Rice Lake with boardwalks, bird watching opportunities, and forest views.",https://www.alltrails.com/trail/canada/british-columbia/rice-lake-loop
BC_032,Mystery Lake,Seymour River,"North Vancouver, BC",Moderate,4.6,2.0,150,4.4,"Lake, Forest","Restrooms, Parking",Out & Back,"A moderate hike to Mystery Lake through forest with a peaceful mountain lake as the destination.",https://www.alltrails.com/trail/canada/british-columbia/mystery-lake
BC_033,Dog Mountain,Seymour River,"North Vancouver, BC",Hard,12.0,6.0,1200,4.5,"Mountain views, Alpine","Restrooms, Parking",Out & Back,"A challenging full-day hike to Dog Mountain with alpine meadows and panoramic views of the Coast Mountains.",https://www.alltrails.com/trail/canada/british-columbia/dog-mountain
BC_034,Mount Seymour,Mount Seymour Provincial Park,"North Vancouver, BC",Moderate,5.8,3.0,400,4.4,"Mountain views, Alpine","Restrooms, Parking",Out & Back,"A popular moderate hike to Mount Seymour with alpine terrain and excellent views of the surrounding peaks.",https://www.alltrails.com/trail/canada/british-columbia/mount-seymour
BC_035,Dinkey Peak,Mount Seymour Provincial Park,"North Vancouver, BC",Hard,8.4,4.5,650,4.3,"Mountain views, Alpine","Restrooms, Parking",Out & Back,"A challenging extension beyond Mount Seymour to Dinkey Peak with exposed alpine terrain and panoramic views.",https://www.alltrails.com/trail/canada/british-columbia/dinkey-peak
BC_036,Elsay Lake,Mount Seymour Provincial Park,"North Vancouver, BC",Hard,10.2,5.5,800,4.2,"Lake, Mountain views","Restrooms, Parking",Out & Back,"A strenuous hike to a beautiful alpine lake with challenging terrain and rewarding mountain lake views.",https://www.alltrails.com/trail/canada/british-columbia/elsay-lake
BC_037,Goldie Lake,Mount Seymour Provincial Park,"North Vancouver, BC",Moderate,4.8,2.5,200,4.1,"Lake, Forest","Restrooms, Parking",Out & Back,"A moderate hike to Goldie Lake through forest with a peaceful mountain lake destination.",https://www.alltrails.com/trail/canada/british-columbia/goldie-lake
BC_038,First Lake,Mount Seymour Provincial Park,"North Vancouver, BC",Easy,3.2,1.5,100,4.0,"Lake, Forest","Restrooms, Parking",Out & Back,"An easy hike to First Lake with forest views and a peaceful mountain lake setting.",https://www.alltrails.com/trail/canada/british-columbia/first-lake
BC_039,Second Lake,Mount Seymour Provincial Park,"North Vancouver, BC",Easy,4.0,2.0,120,4.1,"Lake, Forest","Restrooms, Parking",Out & Back,"An easy to moderate hike to Second Lake with forest trail and mountain lake views.",https://www.alltrails.com/trail/canada/british-columbia/second-lake
BC_040,Third Lake,Mount Seymour Provincial Park,"North Vancouver, BC",Moderate,5.5,2.8,180,4.2,"Lake, Forest","Restrooms, Parking",Out & Back,"A moderate hike to Third Lake through forest with peaceful mountain lake destination.",https://www.alltrails.com/trail/canada/british-columbia/third-lake
BC_041,Burnaby Mountain,Burnaby Mountain Park,"Burnaby, BC",Easy,3.5,1.2,120,4.1,"City views, Forest","Restrooms, Parking",Loop,"A network of trails on Burnaby Mountain with city views, forest walks, and cultural attractions.",https://www.alltrails.com/trail/canada/british-columbia/burnaby-mountain
BC_042,Burnaby Lake,Burnaby Lake Regional Park,"Burnaby, BC",Easy,10.0,3.0,20,4.2,"Lake, Wildlife","Restrooms, Parking",Loop,"A flat loop trail around Burnaby Lake with excellent bird watching opportunities and peaceful lake views.",https://www.alltrails.com/trail/canada/british-columbia/burnaby-lake
BC_043,Deer Lake Park,Deer Lake Park,"Burnaby, BC",Easy,2.8,1.0,15,4.0,"Lake, Park","Restrooms, Parking",Loop,"A short loop around Deer Lake with park facilities, beach access, and peaceful lake views.",https://www.alltrails.com/trail/canada/british-columbia/deer-lake-park
BC_044,Central Park,Central Park,"Burnaby, BC",Easy,2.2,0.8,25,3.9,"Park, Forest","Restrooms, Parking",Loop,"A loop through Central Park featuring forest trails, pitch and putt golf, and urban park amenities.",https://www.alltrails.com/trail/canada/british-columbia/central-park
BC_045,Swangard Stadium to Burnaby Lake,Swangard Stadium,"Burnaby, BC",Easy,4.8,1.5,30,4.0,"Lake, Urban","Parking",Out & Back,"A connecting trail from Swangard Stadium to Burnaby Lake through urban and natural areas.",https://www.alltrails.com/trail/canada/british-columbia/swangard-stadium-to-burnaby-lake
BC_046,Burnaby Village Museum,Burnaby Village Museum,"Burnaby, BC",Easy,1.5,0.5,10,3.8,"Museum, Park","Restrooms, Parking",Loop,"A short walk through Burnaby Village Museum featuring historical buildings and heritage gardens.",https://www.alltrails.com/trail/canada/british-columbia/burnaby-village-museum
BC_047,Minnekhada Regional Park,Minnekhada Regional Park,"Coquitlam, BC",Easy,4.2,1.8,80,4.3,"Lake, Forest, Wildlife","Restrooms, Parking",Loop,"A loop trail through Minnekhada Regional Park with lake views, forest walks, and wildlife viewing opportunities.",https://www.alltrails.com/trail/canada/british-columbia/minnekhada-regional-park
BC_048,Addington Marsh,Minnekhada Regional Park,"Coquitlam, BC",Easy,2.8,1.2,20,4.1,"Marsh, Wildlife","Restrooms, Parking",Loop,"A loop trail through Addington Marsh with excellent bird watching and wildlife viewing opportunities.",https://www.alltrails.com/trail/canada/british-columbia/addington-marsh
BC_049,High Knoll Trail,Minnekhada Regional Park,"Coquitlam, BC",Moderate,3.6,1.8,200,4.2,"Views, Forest","Restrooms, Parking",Out & Back,"A moderate hike to High Knoll with forest views and elevated perspectives of the surrounding area.",https://www.alltrails.com/trail/canada/british-columbia/high-knoll-trail
BC_050,Minnekhada Lodge,Minnekhada Regional Park,"Coquitlam, BC",Easy,1.8,0.8,30,4.0,"Lodge, History","Restrooms, Parking",Out & Back,"A short walk to the historic Minnekhada Lodge with heritage buildings and interpretive displays.",https://www.alltrails.com/trail/canada/british-columbia/minnekhada-lodge
BC_051,Colony Farm Regional Park,Colony Farm Regional Park,"Coquitlam, BC",Easy,5.5,2.0,20,4.1,"River, Meadows","Parking",Loop,"A flat loop trail through Colony Farm Regional Park with river views, meadows, and wildlife viewing.",https://www.alltrails.com/trail/canada/british-columbia/colony-farm-regional-park
BC_052,Pitt River Regional Greenway,Pitt River,"Coquitlam, BC",Easy,6.8,2.5,15,4.0,"River, Meadows","Parking",Out & Back,"A flat greenway trail along the Pitt River with meadow views and mountain backdrop.",https://www.alltrails.com/trail/canada/british-columbia/pitt-river-regional-greenway
BC_053,Traboulay PoCo Trail,Traboulay PoCo Trail,"Port Coquitlam, BC",Easy,25.0,8.0,50,4.2,"River, Urban","Parking",Point-to-Point,"A long urban trail following the Coquitlam River with multiple access points and varied scenery.",https://www.alltrails.com/trail/canada/british-columbia/traboulay-poco-trail
BC_054,Pitt Meadows Dyke,Pitt Meadows,"Pitt Meadows, BC",Easy,8.2,2.5,10,4.1,"River, Meadows, Mountains","Parking",Out & Back,"A flat dyke trail with panoramic views of the Pitt River, mountains, and surrounding meadows.",https://www.alltrails.com/trail/canada/british-columbia/pitt-meadows-dyke
BC_055,UBC Malcolm Knapp Research Forest,Malcolm Knapp Research Forest,"Maple Ridge, BC",Easy,4.5,1.8,60,4.2,"Forest, Creek","Parking",Loop,"A network of trails through research forest with old-growth trees, creeks, and educational opportunities.",https://www.alltrails.com/trail/canada/british-columbia/ubc-malcolm-knapp-research-forest
BC_056,Golden Ears Provincial Park,Golden Ears Provincial Park,"Maple Ridge, BC",Hard,24.0,10.0,1500,4.6,"Mountain views, Lake, Alpine","Restrooms, Parking, Camping",Out & Back,"A challenging full-day or overnight hike to Golden Ears peaks with alpine lakes and spectacular mountain views.",https://www.alltrails.com/trail/canada/british-columbia/golden-ears-provincial-park
BC_057,Alouette Lake,Golden Ears Provincial Park,"Maple Ridge, BC",Easy,3.2,1.2,20,4.3,"Lake, Mountains","Restrooms, Parking, Camping",Out & Back,"An easy walk along Alouette Lake with mountain views and opportunities for swimming and picnicking.",https://www.alltrails.com/trail/canada/british-columbia/alouette-lake
BC_058,Gold Creek Trail,Golden Ears Provincial Park,"Maple Ridge, BC",Moderate,6.8,3.0,300,4.4,"Creek, Forest","Restrooms, Parking, Camping",Out & Back,"A moderate hike along Gold Creek with forest views, creek crossings, and potential for waterfall viewing.",https://www.alltrails.com/trail/canada/british-columbia/gold-creek-trail
BC_059,West Canyon Trail,Golden Ears Provincial Park,"Maple Ridge, BC",Moderate,8.4,4.0,400,4.3,"Canyon, Creek","Restrooms, Parking, Camping",Out & Back,"A moderate hike through West Canyon with creek views, forest scenery, and canyon landscapes.",https://www.alltrails.com/trail/canada/british-columbia/west-canyon-trail
BC_060,Panorama Ridge,Golden Ears Provincial Park,"Maple Ridge, BC",Hard,30.0,12.0,1500,4.7,"Mountain views, Alpine, Glaciers","Restrooms, Parking, Camping",Out & Back,"An extremely challenging hike to Panorama Ridge with alpine terrain and spectacular glacier views.",https://www.alltrails.com/trail/canada/british-columbia/panorama-ridge
BC_061,Garibaldi Lake,Garibaldi Provincial Park,"Whistler, BC",Hard,18.0,8.0,820,4.8,"Lake, Mountain views, Alpine","Restrooms, Parking",Out & Back,"A challenging hike to the stunning turquoise Garibaldi Lake with alpine scenery and mountain views.",https://www.alltrails.com/trail/canada/british-columbia/garibaldi-lake
BC_062,Panorama Ridge via Garibaldi Lake,Garibaldi Provincial Park,"Whistler, BC",Hard,30.0,12.0,1520,4.7,"Mountain views, Alpine, Glaciers","Restrooms, Parking",Out & Back,"An extremely challenging extension from Garibaldi Lake to Panorama Ridge with spectacular alpine and glacier views.",https://www.alltrails.com/trail/canada/british-columbia/panorama-ridge-via-garibaldi-lake
BC_063,Black Tusk,Garibaldi Provincial Park,"Whistler, BC",Hard,29.0,12.0,1600,4.6,"Mountain views, Alpine, Volcanic","Restrooms, Parking",Out & Back,"A challenging hike to the iconic Black Tusk volcanic peak with alpine meadows and panoramic mountain views.",https://www.alltrails.com/trail/canada/british-columbia/black-tusk
BC_064,Helm Creek,Garibaldi Provincial Park,"Whistler, BC",Hard,12.0,6.0,900,4.4,"Creek, Alpine","Restrooms, Parking",Out & Back,"A challenging hike to Helm Creek with alpine terrain and access to higher elevation camping areas.",https://www.alltrails.com/trail/canada/british-columbia/helm-creek
BC_065,Cheakamus Lake,Garibaldi Provincial Park,"Whistler, BC",Easy,6.0,2.0,90,4.5,"Lake, Forest","Restrooms, Parking",Out & Back,"An easy hike to beautiful Cheakamus Lake with forest trail and peaceful lake views.",https://www.alltrails.com/trail/canada/british-columbia/cheakamus-lake
BC_066,Whistler Village Stroll,Whistler Village,"Whistler, BC",Easy,2.5,1.0,50,4.2,"Village, Mountains","Restrooms, Parking, Shops",Loop,"A leisurely stroll through Whistler Village with mountain views, shops, and resort amenities.",https://www.alltrails.com/trail/canada/british-columbia/whistler-village-stroll
BC_067,Valley Trail,Whistler,"Whistler, BC",Easy,40.0,12.0,100,4.3,"Valley, Lakes, Forest","Restrooms, Parking",Point-to-Point,"An extensive paved trail system connecting Whistler's neighborhoods with lakes, forest, and valley views.",https://www.alltrails.com/trail/canada/british-columbia/valley-trail
BC_068,Lost Lake Loop,Whistler,"Whistler, BC",Easy,5.0,1.5,30,4.4,"Lake, Forest","Restrooms, Parking",Loop,"A popular loop around Lost Lake with forest views and opportunities for swimming and relaxation.",https://www.alltrails.com/trail/canada/british-columbia/lost-lake-loop
BC_069,Alpha Lake,Whistler,"Whistler, BC",Easy,2.8,1.0,20,4.1,"Lake, Forest","Parking",Loop,"A short loop around Alpha Lake with forest views and peaceful lake setting.",https://www.alltrails.com/trail/canada/british-columbia/alpha-lake
BC_070,Nita Lake,Whistler,"Whistler, BC",Easy,1.5,0.5,10,4.0,"Lake, Forest","Parking",Loop,"A short loop around Nita Lake with forest views and mountain backdrop.",https://www.alltrails.com/trail/canada/british-columbia/nita-lake
BC_071,Alta Lake,Whistler,"Whistler, BC",Easy,4.2,1.5,25,4.2,"Lake, Forest","Restrooms, Parking",Loop,"A loop around Alta Lake with forest views and opportunities for beach access and swimming.",https://www.alltrails.com/trail/canada/british-columbia/alta-lake
BC_072,Rainbow Lake,Whistler,"Whistler, BC",Easy,3.0,1.2,40,4.3,"Lake, Forest","Parking",Out & Back,"A short hike to Rainbow Lake with forest trail and peaceful mountain lake views.",https://www.alltrails.com/trail/canada/british-columbia/rainbow-lake
BC_073,Whistler Olympic Park,Whistler Olympic Park,"Whistler, BC",Easy,5.5,2.0,100,4.1,"Olympic venues, Forest","Restrooms, Parking",Loop,"A loop through Whistler Olympic Park with Olympic venue views and forest trails.",https://www.alltrails.com/trail/canada/british-columbia/whistler-olympic-park
BC_074,Brandywine Falls,Brandywine Falls Provincial Park,"Whistler, BC",Easy,1.2,0.5,50,4.6,"Waterfall, Forest","Restrooms, Parking",Out & Back,"A short hike to spectacular Brandywine Falls with forest views and powerful waterfall display.",https://www.alltrails.com/trail/canada/british-columbia/brandywine-falls
BC_075,Joffre Lakes,Joffre Lakes Provincial Park,"Pemberton, BC",Moderate,11.0,4.0,400,4.9,"Lakes, Glaciers, Alpine","Restrooms, Parking",Out & Back,"A moderate hike to three stunning turquoise lakes with glacier views and alpine scenery.",https://www.alltrails.com/trail/canada/british-columbia/joffre-lakes
BC_076,Wedgemount Lake,Garibaldi Provincial Park,"Whistler, BC",Hard,14.0,8.0,1200,4.5,"Lake, Glaciers, Alpine","Parking",Out & Back,"A challenging hike to alpine Wedgemount Lake with glacier views and spectacular mountain scenery.",https://www.alltrails.com/trail/canada/british-columbia/wedgemount-lake
BC_077,Elfin Lakes,Garibaldi Provincial Park,"Squamish, BC",Moderate,22.0,8.0,600,4.6,"Lakes, Alpine, Hut","Restrooms, Parking",Out & Back,"A moderate to challenging hike to Elfin Lakes with alpine terrain and backcountry hut accommodation.",https://www.alltrails.com/trail/canada/british-columbia/elfin-lakes
BC_078,Columnar Peak,Garibaldi Provincial Park,"Squamish, BC",Hard,26.0,12.0,1400,4.4,"Mountain views, Alpine","Restrooms, Parking",Out & Back,"A challenging hike to Columnar Peak with alpine terrain and panoramic mountain views.",https://www.alltrails.com/trail/canada/british-columbia/columnar-peak
BC_079,Opal Cone,Garibaldi Provincial Park,"Squamish, BC",Hard,24.0,10.0,1200,4.3,"Alpine, Volcanic","Restrooms, Parking",Out & Back,"A challenging hike to Opal Cone with alpine terrain and volcanic landscape features.",https://www.alltrails.com/trail/canada/british-columbia/opal-cone
BC_080,Mamquam Lake,Garibaldi Provincial Park,"Squamish, BC",Hard,16.0,8.0,800,4.4,"Lake, Alpine","Parking",Out & Back,"A challenging hike to remote Mamquam Lake with alpine setting and mountain views.",https://www.alltrails.com/trail/canada/british-columbia/mamquam-lake
BC_081,Squamish Estuary,Squamish Estuary,"Squamish, BC",Easy,3.5,1.2,10,4.1,"Estuary, Wildlife","Parking",Loop,"A flat loop trail through Squamish Estuary with wildlife viewing and mountain views.",https://www.alltrails.com/trail/canada/british-columbia/squamish-estuary
BC_082,Alice Lake,Alice Lake Provincial Park,"Squamish, BC",Easy,6.0,2.0,50,4.4,"Lake, Forest","Restrooms, Parking, Camping",Loop,"A loop connecting four lakes in Alice Lake Provincial Park with forest trails and lake views.",https://www.alltrails.com/trail/canada/british-columbia/alice-lake
BC_083,Stump Lake,Alice Lake Provincial Park,"Squamish, BC",Easy,1.8,0.8,30,4.2,"Lake, Forest","Restrooms, Parking, Camping",Loop,"A short loop around Stump Lake with forest views and peaceful lake setting.",https://www.alltrails.com/trail/canada/british-columbia/stump-lake
BC_084,Fawn Lake,Alice Lake Provincial Park,"Squamish, BC",Easy,2.4,1.0,40,4.3,"Lake, Forest","Restrooms, Parking, Camping",Out & Back,"A short hike to Fawn Lake with forest trail and mountain lake views.",https://www.alltrails.com/trail/canada/british-columbia/fawn-lake
BC_085,Edith Lake,Alice Lake Provincial Park,"Squamish, BC",Easy,1.5,0.6,20,4.1,"Lake, Forest","Restrooms, Parking, Camping",Out & Back,"A short hike to Edith Lake with forest views and peaceful lake setting.",https://www.alltrails.com/trail/canada/british-columbia/edith-lake
BC_086,The Chief,Stawamus Chief Provincial Park,"Squamish, BC",Hard,5.0,4.0,540,4.7,"Mountain views, Rock","Restrooms, Parking",Out & Back,"A challenging hike up granite cliffs to spectacular summit views of Howe Sound and surrounding mountains.",https://www.alltrails.com/trail/canada/british-columbia/the-chief
BC_087,Second Peak,Stawamus Chief Provincial Park,"Squamish, BC",Hard,6.0,4.5,600,4.6,"Mountain views, Rock","Restrooms, Parking",Out & Back,"A challenging extension to the Second Peak of Stawamus Chief with additional elevation and views.",https://www.alltrails.com/trail/canada/british-columbia/second-peak
BC_088,Third Peak,Stawamus Chief Provincial Park,"Squamish, BC",Hard,7.0,5.0,650,4.5,"Mountain views, Rock","Restrooms, Parking",Out & Back,"A challenging hike to the Third Peak of Stawamus Chief with the most elevation gain and panoramic views.",https://www.alltrails.com/trail/canada/british-columbia/third-peak
BC_089,Sea to Sky Trail,Sea to Sky Trail,"Squamish, BC",Easy,180.0,60.0,2000,4.5,"Ocean, Mountains, Forest","Restrooms, Parking",Point-to-Point,"An extensive multi-day trail from ocean to alpine terrain with diverse scenery and multiple access points.",https://www.alltrails.com/trail/canada/british-columbia/sea-to-sky-trail
BC_090,Shannon Falls,Shannon Falls Provincial Park,"Squamish, BC",Easy,0.5,0.2,30,4.5,"Waterfall, Forest","Restrooms, Parking",Out & Back,"A very short walk to impressive Shannon Falls, one of BC's highest waterfalls.",https://www.alltrails.com/trail/canada/british-columbia/shannon-falls
BC_091,Murrin Provincial Park,Murrin Provincial Park,"Squamish, BC",Easy,2.0,0.8,100,4.2,"Lake, Rock, Views","Restrooms, Parking",Loop,"A short loop around Browning Lake with rock climbing areas and views of Howe Sound.",https://www.alltrails.com/trail/canada/british-columbia/murrin-provincial-park
BC_092,Porteau Cove,Porteau Cove Provincial Park,"Squamish, BC",Easy,1.5,0.5,20,4.1,"Ocean, Diving","Restrooms, Parking, Camping",Out & Back,"A short waterfront walk with ocean views and popular scuba diving site.",https://www.alltrails.com/trail/canada/british-columbia/porteau-cove
BC_093,Britannia Beach,Britannia Beach,"Squamish, BC",Easy,2.0,0.8,30,4.0,"Beach, Mining history","Restrooms, Parking",Out & Back,"A short walk around Britannia Beach with mining history and ocean views.",https://www.alltrails.com/trail/canada/british-columbia/britannia-beach
